,,,,,,,,,,,,
,,,,,,,,,,,,
google,,,,,,,,,,,,
Dates,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020
Values,57.05,54.15,45.7,39.1,32.05,30.15,25.9,26.95,27.53,26.5,23.3,22.55
,,,,,,,,,,,,
Accenture plc,,,,,,,,,,,,
Dates,2/28/2023,11/30/2022,8/31/2022,5/31/2022,2/28/2022,11/30/2021,8/31/2021,5/31/2021,2/28/2021,11/30/2020,8/31/2020,5/31/2020
Values,2.39,3.08,2.6,2.79,2.54,2.78,2.2,2.4,2.23,2.32,1.99,1.9
,,,,,,,,,,,,
Broadcom Inc.,,,,,,,,,,,,
Dates,1/31/2023,10/31/2022,7/31/2022,4/30/2022,1/31/2022,10/31/2021,7/31/2021,4/30/2021,1/31/2021,10/31/2020,7/31/2020,4/30/2020
Values,8.8,7.81,7.13,5.92,5.59,4.44,4.19,3.29,3.04,2.92,1.45,1.17
,,,,,,,,,,,,
Oracle Corporation,,,,,,,,,,,,
Dates,2/28/2023,11/30/2022,8/31/2022,5/31/2022,2/28/2022,11/30/2021,8/31/2021,5/31/2021,2/28/2021,11/30/2020,8/31/2020,5/31/2020
Values,0.68,0.63,0.56,1.16,0.84,-0.46,0.86,1.37,1.68,0.8,0.72,0
,,,,,,,,,,,,
Cisco Systems,,,,,,,,,,,,
Dates,1/31/2023,10/31/2022,7/31/2022,4/30/2022,1/31/2022,10/31/2021,7/31/2021,4/30/2021,1/31/2021,10/31/2020,7/31/2020,4/30/2020
Values,0.67,0.65,0.68,0.73,0.71,0.7,0.71,0.68,0.6,0.51,0.62,0.65
,,,,,,,,,,,,
Eastman Chemical Company,,,,,,,,,,,,
Dates,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020
Values,0.01,2.46,2.03,1.8,2.81,2.57,-1.07,1.99,0.23,1.18,0.2,1.89
,,,,,,,,,,,,
Adobe Inc,,,,,,,,,,,,
Dates,2/28/2023,11/30/2022,8/31/2022,5/31/2022,2/28/2022,11/30/2021,8/31/2021,5/31/2021,2/28/2021,11/30/2020,8/31/2020,5/31/2020
Values,2.71,2.53,2.42,2.49,2.66,2.57,2.52,2.32,2.61,4.64,1.97,2.27
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Vale S.A,,,,,,,,,,,,
Dates,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020
Values,0,0.98,1.32,0.93,0,0.76,1.49,1.08,0,0.57,0.19,0.05
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Equinix, Inc",,,,,,,,,,,,
